50	2.217e+00
100	8.093e+00
150	1.725e+01
200	2.940e+01
250	4.426e+01
300	6.183e+01
350	8.246e+01
400	1.053e+02
450	1.307e+02
500	1.584e+02
550	1.873e+02
600	2.161e+02
650	2.450e+02
700	2.754e+02
750	3.083e+02
800	3.419e+02
850	3.739e+02
900	4.063e+02
950	4.390e+02
1000	4.716e+02
1050	5.032e+02
1100	5.331e+02
1150	5.651e+02
1200	5.976e+02
1250	6.298e+02
1300	6.602e+02
1350	6.923e+02
1400	7.257e+02
1450	7.616e+02
1500	8.007e+02
1550	8.407e+02
1600	8.835e+02
1650	9.255e+02
1700	9.678e+02
1750	1.012e+03
1800	1.058e+03
1850	1.110e+03
1900	1.160e+03
1950	1.212e+03
2000	1.265e+03
2050	1.314e+03
2100	1.364e+03
2150	1.413e+03
2200	1.465e+03
2250	1.516e+03
2300	1.562e+03
2350	1.608e+03
2400	1.653e+03
2450	1.697e+03
2500	1.737e+03
2550	1.773e+03
2600	1.809e+03
2650	1.844e+03
2700	1.883e+03
2750	1.924e+03
2800	1.970e+03
2850	2.023e+03
2900	2.071e+03
2950	2.111e+03
3000	2.158e+03
3050	2.208e+03
3100	2.251e+03
3150	2.297e+03
3200	2.344e+03
3250	2.389e+03
3300	2.426e+03
3350	2.456e+03
3400	2.490e+03
3450	2.525e+03
3500	2.561e+03
3550	2.598e+03
3600	2.636e+03
3650	2.677e+03
3700	2.718e+03
3750	2.762e+03
3800	2.808e+03
3850	2.853e+03
3900	2.895e+03
3950	2.934e+03
4000	2.979e+03
4050	3.030e+03
4100	3.078e+03
4150	3.121e+03
4200	3.163e+03
4250	3.206e+03
4300	3.244e+03
4350	3.276e+03
4400	3.307e+03
4450	3.343e+03
4500	3.381e+03
4550	3.417e+03
4600	3.453e+03
4650	3.489e+03
4700	3.524e+03
4750	3.557e+03
4800	3.589e+03
4850	3.616e+03
4900	3.638e+03
4950	3.655e+03
5000	3.679e+03
5050	3.707e+03
5100	3.736e+03
5150	3.768e+03
5200	3.805e+03
5250	3.839e+03
5300	3.875e+03
5350	3.910e+03
5400	3.939e+03
5450	3.968e+03
5500	3.995e+03
5550	4.023e+03
5600	4.053e+03
5650	4.085e+03
5700	4.116e+03
5750	4.148e+03
5800	4.184e+03
5850	4.218e+03
5900	4.248e+03
5950	4.285e+03
6000	4.328e+03
6050	4.372e+03
6100	4.412e+03
6150	4.466e+03
6200	4.526e+03
6250	4.571e+03
6300	4.611e+03
